Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A438592,OWNER SUR,06/01/2018,*ZENA,CAT,4 YEARS,LARGE,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438592&location=MONT,
A440308,OWNER SUR,07/14/2018,*GORDO,CAT,9 YEARS,SMALL,FLAME PT,SIAMESE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440308&location=MONT,
A438199,OWNER SUR,05/24/2018,*FINNIGAN,CAT,6 YEARS,SMALL,ORANGE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438199&location=MONT,
A412349,OWNER SUR,06/29/2018,KASSI,CAT,4 YEARS,MED,BRN TORBI / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A412349&location=MONT,
A438250,OWNER SUR,05/25/2018,*SIMBA,CAT,3 YEARS,MED,BRN TABBY,DOMESTIC MH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438250&location=MONT,
A438197,OWNER SUR,05/24/2018,*SCARLET,CAT,2 YEARS,SMALL,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438197&location=MONT,
A438137,OWNER SUR,05/23/2018,GAYLORD,CAT,5 YEARS,SMALL,BRN TABBY,DOMESTIC LH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438137&location=MONT,
A440488,STRAY,07/16/2018,*TOASTEDMARSHMALLOW,CAT,12 YEARS,LARGE,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440488&location=MONT,"23500 GARDENSIDE PL, CLARKSBURG MD 20871"
A440310,OWNER SUR,07/14/2018,*RAY,CAT,7 YEARS,SMALL,FLAME PT,SIAMESE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440310&location=MONT,
A440298,OWNER SUR,07/14/2018,ROUND,CAT,4 YEARS,SMALL,FLAME PT,SIAMESE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440298&location=MONT,
A428167,OWNER SUR,07/14/2018,PINK,CAT,8 YEARS,SMALL,FLAME PT,SIAMESE / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A428167&location=MONT,
A440332,OWNER SUR,07/14/2018,FLAPJACK,CAT,5 YEARS,SMALL,LYNX PT,SIAMESE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440332&location=MONT,
A440300,OWNER SUR,07/14/2018,*MOONBEAM,CAT,5 YEARS,SMALL,LILAC PT,SIAMESE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440300&location=MONT,
A440520,OWNER SUR,07/17/2018,FELECIA,CAT,7 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440520&location=MONT,
A440522,OWNER SUR,07/17/2018,MERCEDES,CAT,7 YEARS,MED,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440522&location=MONT,
A440312,OWNER SUR,07/14/2018,*PORTABELLO,CAT,2 YEARS,SMALL,LILAC PT,SIAMESE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440312&location=MONT,
A440336,OWNER SUR,07/14/2018,*ROSEMARY,CAT,10 YEARS,SMALL,FLAME PT,SIAMESE,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440336&location=MONT,
A370405,OWNER SUR,05/08/2018,ROCKO,DOG,8 YEARS,LARGE,BROWN / WHITE,STAFFORDSHIRE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A370405&location=MONT,
A439731,RETURN,07/17/2018,LOUIE,CAT,5 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439731&location=MONT,
A440758,OWNER SUR,07/24/2018,CHICA,DOG,13 YEARS,SMALL,TAN,CHIHUAHUA SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440758&location=MONT,
A302654,OWNER SUR,07/22/2018,GERMANY,CAT,12 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A302654&location=MONT,
A440586,OWNER SUR,07/19/2018,PENNY,CAT,2 YEARS,LARGE,SLVR TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440586&location=MONT,
A435403,RETURN,03/17/2018,WILLOW,DOG,1 YEAR 5 MONTHS,MED,BLUE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A435403&location=MONT,
A434836,OWNER SUR,05/23/2018,TYSON,DOG,1 YEAR 5 MONTHS,X-LRG,TAN,BOERBOEL / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A434836&location=MONT,
A437176,STRAY,04/26/2018,*SHERMAN,DOG,1 YEAR 4 MONTHS,LARGE,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437176&location=MONT,"400 CHRISTOPHER AVE, GAITHERSBURG MD 20879"
A436710,OWNER SUR,04/13/2018,*MINK,CAT,10 MONTHS,SMALL,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A436710&location=MONT,
A437779,OWNER SUR,05/14/2018,THYMY,OTHER,11 MONTHS,MED,SABLE,FERRET,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437779&location=MONT,
A354709,STRAY,07/15/2018,*KIELBASA,DOG,5 YEARS,LARGE,BLUE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A354709&location=MONT,"0 FREDERICK RD, ROCKVILLE MD 20850"
A440319,OWNER SUR,07/14/2018,PATRICK,CAT,4 YEARS,SMALL,FLAME PT,SIAMESE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440319&location=MONT,
A438138,OWNER SUR,05/23/2018,DIAMOND,CAT,5 YEARS,SMALL,BRN TABBY,DOMESTIC LH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A438138&location=MONT,
A437068,OWNER SUR,07/30/2018,CHARITY,CAT,3 YEARS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A437068&location=MONT,
A440750,STRAY,07/24/2018,*KIKI,DOG,2 YEARS,LARGE,BLACK / BROWN,ROTTWEILER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440750&location=MONT,"14100 CASTLE BLVD, SILVER SPRING MD 20904"
A441041,OWNER SUR,07/30/2018,NUBIAN,DOG,7 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A441041&location=MONT,
A439017,STRAY,06/14/2018,*JUBILEE,DOG,1 YEAR 1 MONTH,MED,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A439017&location=MONT,"11200 OAK LEAF DR, SILVER SPRING MD 20901"
A440729,OWNER SUR,07/23/2018,*SLIMMIE,CAT,4 MONTHS,KITTE,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A440729&location=MONT,
